Date,Poland
2012-09-09,8
2012-09-16,13
2012-09-23,28
2012-09-30,40
2012-10-07,39
2012-10-14,35
2012-10-21,30
2012-10-28,31
2012-11-04,33
2012-11-11,34
2012-11-18,34
2012-11-25,34
2012-12-02,36
2012-12-09,49
2012-12-16,94
2012-12-23,151
2012-12-30,202
2013-01-06,330
2013-01-13,413
2013-01-20,268
2013-01-27,168
2013-02-03,112
2013-02-10,78
2013-02-17,69
2013-02-24,70
2013-03-03,59
2013-03-10,63
2013-03-17,62
2013-03-24,65
2013-03-31,64
2013-04-07,51
2013-04-14,36
2013-04-21,28
2013-04-28,24
2013-05-05,19
2013-05-12,17
2013-05-19,15
2013-05-26,14
2013-06-02,13
2013-06-09,13
2013-06-16,12
2013-06-23,13
2013-06-30,13
2013-07-07,12
2013-07-14,12
2013-07-21,12
2013-07-28,12
2013-08-04,12
2013-08-11,12
2013-08-18,12
2013-08-25,11
2013-09-01,11
2013-09-08,12
2013-09-15,22
2013-09-22,41
2013-09-29,45
2013-10-06,40
2013-10-13,35
2013-10-20,30
2013-10-27,26
2013-11-03,25
2013-11-10,24
2013-11-17,26
2013-11-24,27
2013-12-01,29
2013-12-08,27
2013-12-15,28
2013-12-22,32
2013-12-29,38
2014-01-05,33
2014-01-12,28
2014-01-19,32
2014-01-26,41
2014-02-02,51
2014-02-09,54
2014-02-16,54
2014-02-23,62
2014-03-02,84
2014-03-09,80
2014-03-16,75
2014-03-23,52
2014-03-30,41
2014-04-06,32
2014-04-13,26
2014-04-20,23
2014-04-27,20
2014-05-04,17
2014-05-11,17
2014-05-18,17
2014-05-25,15
2014-06-01,16
2014-06-08,15
2014-06-15,15
2014-06-22,14
2014-06-29,13
2014-07-06,12
2014-07-13,11
2014-07-20,10
2014-07-27,10
2014-08-03,9
2014-08-10,8
2014-08-17,8
2014-08-24,8
2014-08-31,8
2014-09-07,9
2014-09-14,13
2014-09-21,24
2014-09-28,32
2014-10-05,37
2014-10-12,36
2014-10-19,34
2014-10-26,35
2014-11-02,35
2014-11-09,33
2014-11-16,30
2014-11-23,31
2014-11-30,34
2014-12-07,35
2014-12-14,35
2014-12-21,35
2014-12-28,37
2015-01-04,38
2015-01-11,35
2015-01-18,41
2015-01-25,70
2015-02-01,92
2015-02-08,140
2015-02-15,221
2015-02-22,275
2015-03-01,206
2015-03-08,200
2015-03-15,123
2015-03-22,84
2015-03-29,61
2015-04-05,55
2015-04-12,45
2015-04-19,35
2015-04-26,28
2015-05-03,23
2015-05-10,20
2015-05-17,19
2015-05-24,17
2015-05-31,16
2015-06-07,15
2015-06-14,14
2015-06-21,13
2015-06-28,11
2015-07-05,11
2015-07-12,11
2015-07-19,10
2015-07-26,9
2015-08-02,9
2015-08-09,9
